branch_id,source_state,extension_stage,state,n_cells,LAMCORE_full_median,LAMCORE_full_q25,LAMCORE_full_q75,LAMCORE_no_gate_median,LAMCORE_no_gate_q25,LAMCORE_no_gate_q75,LAMCORE_outside_scVI_median,LAMCORE_outside_scVI_q25,LAMCORE_outside_scVI_q75,LAMCORE_independent_median,LAMCORE_independent_q25,LAMCORE_independent_q75,CORE1_median,CORE1_q25,CORE1_q75,CORE2_median,CORE2_q25,CORE2_q75,CORE3_median,CORE3_q25,CORE3_q75,melanocytic_median,melanocytic_q25,melanocytic_q75,myogenic_median,myogenic_q25,myogenic_q75,VEGFD_median,VEGFD_q25,VEGFD_q75,CTSK_median,CTSK_q25,CTSK_q75,lam_support_median,lam_support_q25,lam_support_q75,HOX_PBX_median,HOX_PBX_q25,HOX_PBX_q75,hormone_median,hormone_q25,hormone_q75,ECM_median,ECM_q25,ECM_q75,protease_median,protease_q25,protease_q75,mTOR_translation_median,mTOR_translation_q25,mTOR_translation_q75,T_NK_median,T_NK_q25,T_NK_q75,macrophage_median,macrophage_q25,macrophage_q75,AT2_median,AT2_q25,AT2_q75,endothelial_median,endothelial_q25,endothelial_q75,lymphatic_endothelial_median,lymphatic_endothelial_q25,lymphatic_endothelial_q75,fibroblast_median,fibroblast_q25,fibroblast_q75,pericyte_VSMC_median,pericyte_VSMC_q25,pericyte_VSMC_q75,mesothelial_median,mesothelial_q25,mesothelial_q75,ciliated_median,ciliated_q25,ciliated_q75,branch_assignment
all,State_15,State15_anchor,State_15,200,0.512529730796814,0.46225084364414215,0.5627269744873047,0.5022616982460022,0.4490711912512779,0.5498764365911484,0.3451227843761444,0.2941862419247627,0.3844015523791313,0.3457084745168686,0.29372891038656235,0.38131215423345566,2.008028030395508,1.4208374619483948,2.32332581281662,1.1634118556976318,0.9986294060945511,1.3465455174446106,1.6109884977340698,1.3865768611431122,1.8088900446891785,1.1275132894515991,0.8823391795158386,1.3496704995632172,2.068992853164673,1.4828478693962097,2.4812569618225098,0.0,0.0,0.546790599822998,3.648732900619507,3.0579893589019775,4.087364315986634,1.4643694758415222,1.2792004644870758,1.6689371168613434,0.314716175198555,0.23735212162137032,0.4227096289396286,0.17859980463981628,0.11174002476036549,0.28863582760095596,1.5745034217834473,1.2033383250236511,1.838625282049179,1.0222324132919312,0.8840721398591995,1.1393059194087982,1.8646366000175476,1.7243596911430359,2.0084657669067383,0.0,0.0,0.0,0.380711168050766,0.32479624450206757,0.5067034661769867,0.3526631295681,0.16188421845436096,0.8408424258232117,0.0,0.0,0.06743662431836128,0.1280166432261467,0.0,0.23036164045333862,1.1730241179466248,0.873340904712677,1.3964600563049316,1.87710839509964,1.335051715373993,2.161070227622986,0.0860767513513565,0.0,0.1592450849711895,0.0,0.0,0.037125070579349995,
branch_01,State_16,State_16_near,State_16,132,0.28959129750728607,0.1853397153317928,0.5498046875,0.27926938235759735,0.17182032391428947,0.5444939434528351,0.1809096336364746,0.10319857299327848,0.49885550886392593,0.18198221921920776,0.10381041839718817,0.49205424636602396,1.49643874168396,1.1246188580989838,1.863895446062088,0.6635794937610626,0.4067208617925644,0.9196730107069016,1.3627881407737732,1.0585162937641144,1.642682522535324,0.8131761848926544,0.382155679166317,1.1083256006240845,1.8618295788764954,1.3472188115119936,2.4349284768104558,0.0,0.0,0.0,2.2750585079193115,0.0,3.434453129768372,1.2682360410690308,0.9015154242515564,1.5526686906814575,0.24504753947257996,0.0,0.6835147142410278,0.14771491661667818,0.0,0.7447653114795685,0.5228960812091827,0.3034249618649483,0.8071613907814026,0.3994552791118622,0.2227615900337696,0.6240595132112503,1.3338584899902344,0.42098000645637507,1.8074231743812559,0.0,0.0,0.0,0.2633631825447082,0.13081739284098146,0.3849786221981048,0.7193921804428101,0.4684715196490287,1.0327845513820648,0.0,0.0,0.0,0.0,0.0,0.0,0.40161240100860596,0.1725123338401317,0.5869088619947433,1.3663700222969055,1.0496567785739899,1.673546463251114,0.0,0.0,0.0,0.0,0.0,0.0401478102430701,
branch_01,State_16,State_16_mid,State_16,132,0.19841592758893964,0.13829147815704343,0.4021345525979996,0.1926897913217544,0.13021051883697504,0.40295607596635813,0.11214172095060346,0.07080212607979768,0.34778244048357004,0.11280659586191175,0.07099503278732293,0.3440678715705871,1.4216451048851013,0.9634347409009933,1.9040460884571078,0.421601340174675,0.30551908165216446,0.6854601353406906,1.0236917734146118,0.7997543215751648,1.3510313630104065,0.43142589926719666,0.0,0.8247825801372528,1.6459383964538574,1.1122783720493317,2.2588632106781006,0.0,0.0,0.0,2.097182512283325,0.0,2.9402849674224854,0.9718421399593354,0.6252875924110413,1.3602598905563354,0.0,0.0,0.5902437418699265,0.0,0.0,0.6271224170923233,0.45571801066398615,0.29127486795186996,0.596603274345398,0.32313553988933563,0.2114335224032402,0.5396818667650223,1.5573151111602783,0.6925060451030731,1.9507514238357544,0.0,0.0,0.00958764273673295,0.2496192902326584,0.07477984018623823,0.42357637733221054,0.8350925147533417,0.5421245247125626,1.2508213818073273,0.0,0.0,0.0,0.0,0.0,0.0,0.24829860776662827,0.0,0.4929237365722656,1.3421597480773926,0.8912423551082611,1.7252337336540222,0.0,0.0,0.0,0.0,0.0,0.0,
branch_01,State_16,State_16_far,State_16,132,0.1730784326791763,0.1040177624672651,0.3525114059448242,0.1659198626875877,0.0969813056290149,0.3450654000043869,0.11573480814695356,0.07277741283178328,0.27817388623952866,0.11457232013344759,0.0721181239932775,0.2791130840778351,0.8444433212280273,0.20548679307103151,1.7067760527133942,0.3226265609264374,0.18800653517246244,0.5750796645879745,0.7875136733055115,0.4518672823905945,1.1382062435150144,0.40964841842651367,0.0,0.8421415537595749,0.9351837933063507,0.3196115791797638,1.7930701076984406,0.0,0.0,0.0,0.8644901514053345,0.0,2.3282436728477482,0.6749106049537659,0.3697398826479911,1.13912159204483,0.0,0.0,0.41476914286613464,0.0,0.0,0.5055986568331718,0.2893387377262115,0.1484332419931888,0.5569360703229904,0.2699051946401596,0.1614526137709617,0.4012102037668228,1.363124430179596,0.622930496931076,1.8813121020793915,0.0,0.0,0.4216892495751381,0.2502002567052841,0.0829073041677475,0.5056088715791702,0.8121290802955627,0.3318453505635261,1.1666201055049896,0.0,0.0,0.0,0.0,0.0,0.0,0.1313202381134033,0.0,0.4299974590539932,0.6443747878074646,0.18196586892008776,1.505763679742813,0.0,0.0,0.0,0.0,0.0,0.0,
branch_01,State_16,boundary_assigned_extension,,762,0.07514299452304835,0.0480346558615565,0.11417559534311288,0.0734396912157535,0.0457475082948803,0.11258791573345656,0.05939979106187815,0.03919632174074642,0.10060533322393891,0.05902214348316185,0.038892620243132024,0.1008376609534025,0.17639720439910883,0.0,0.3686015456914902,0.0,0.0,0.18763272836804384,0.24444582313299174,0.18405507877469057,0.34398490935564036,0.0,0.0,0.0,0.39783167839050293,0.0,0.699910432100296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10411877557635299,0.0,0.20409839600324625,0.1736674159765243,0.0,0.3025404140353203,1.676136553287506,1.1036242246627808,1.9392244219779968,0.5011385381221771,0.0,0.9657368957996368,0.33479316532611847,0.139497447758913,0.5887326449155807,0.640868604183197,0.0,1.1115390360355377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11245141923427579,0.1278574615716934,0.0,0.2851490303874015,0.0,0.0,0.0,0.0,0.0,0.0,State_16
branch_02,State_12,State_12_near,State_12,201,0.2539536356925964,0.2169283330440521,0.3106718957424164,0.2537117898464203,0.2153444737195968,0.3110290467739105,0.2543943524360657,0.2232323288917541,0.280057430267334,0.2511159479618072,0.2230758816003799,0.2780865728855133,0.1535790562629699,0.0522871874272823,0.3217479586601257,0.2960346937179565,0.187201976776123,0.4533145427703857,0.3558654487133026,0.2711678147315979,0.4833525717258453,0.4143278896808624,0.2546781599521637,0.5983930826187134,0.0,0.0,0.2409740537405014,0.0,0.0,0.0,0.0,0.0,0.8250747323036194,0.3256837427616119,0.1849069446325302,0.5523037910461426,0.208656370639801,0.0838466435670852,0.3534752130508423,0.4702387750148773,0.3308160603046417,0.6006199717521667,0.2889962792396545,0.1232752203941345,0.5482769012451172,0.2926293611526489,0.1787632256746292,0.4412480890750885,0.4682769477367401,0.3547927737236023,0.6729523539543152,0.0,0.0,0.0516372993588447,0.1483840346336364,0.0657202005386352,0.3240406215190887,1.6753946542739868,0.9343931078910828,2.151992082595825,0.104527048766613,0.0,0.3406590223312378,0.0,0.0,0.1289829462766647,0.1793610006570816,0.0592565014958381,0.514301061630249,0.1556277424097061,0.0532186217606067,0.2818158864974975,0.0,0.0,0.0619563274085521,0.0716639459133148,0.0275278761982917,0.1329404562711715,
branch_02,State_12,State_12_mid,State_12,202,0.22862371057271955,0.19470068439841268,0.28266733139753336,0.2288324907422065,0.1917999237775802,0.2808172181248665,0.2287750244140625,0.19956687092781059,0.2628232836723327,0.22668196260929105,0.1962097696959972,0.2608841136097908,0.17088691145181656,0.0578851215541362,0.2901819050312042,0.28492747247219086,0.17350594326853752,0.3829604834318161,0.34709315001964564,0.2516330704092979,0.45876630395650864,0.44533975422382355,0.26182684302330017,0.6164765954017639,0.0,0.0,0.21594185382127762,0.0,0.0,0.0,0.0,0.0,0.6125476807355881,0.27671605348587036,0.16209974139928818,0.42998941242694855,0.22206795960664744,0.09524168446660038,0.3762191012501716,0.44921907782554626,0.31086432188749313,0.5736943632364273,0.2733139544725418,0.12459145300090313,0.4224434345960617,0.25605635344982147,0.13640857115387917,0.4714300110936165,0.5069379508495331,0.3292667418718338,0.7557972371578217,0.0,0.0,0.059933342970907674,0.17571847885847092,0.055097058415412875,0.579640343785286,1.234908938407898,0.6882685869932175,1.8624916672706602,0.14199552685022349,0.0,0.4123315140604973,0.0,0.0,0.13658167421817774,0.0764933936297893,0.0,0.21120962128043172,0.12664387375116343,0.0436671217903494,0.21737310662865633,0.0,0.0,0.056179090403020375,0.0539467744529247,0.01845638919621705,0.10175965353846542,
branch_02,State_12,State_12_far,State_12,202,0.22931753098964686,0.2023780606687068,0.262308694422245,0.22876699268817902,0.19950342923402783,0.263191632926464,0.2217324301600456,0.1942040398716926,0.2402812950313091,0.21889875829219815,0.19039476290345184,0.23679068312048912,0.21029403805732727,0.0913741551339626,0.333091028034687,0.22988620400428772,0.1273754574358463,0.36722029000520706,0.32472892105579376,0.24832145497202873,0.4059028625488281,0.38046853244304657,0.21972169354557985,0.6426306962966919,0.0,0.0,0.23024003580212593,0.0,0.0,0.0,0.0,0.0,0.5370111912488937,0.2944139242172241,0.16090181842446327,0.40792115777730936,0.18842475861310953,0.08831292763352387,0.30783592909574503,0.44097560644149775,0.302521526813507,0.5812363177537918,0.25182957947254175,0.10541380941867826,0.3908460289239883,0.2415821179747581,0.12194024212658397,0.42348650842905045,0.5831439197063446,0.3441564738750458,0.8686977475881577,0.01623989036306735,0.0,0.07341058179736133,0.12200083211064336,0.0415631160140037,0.5072396919131279,0.7705547213554382,0.522594541311264,1.2740256488323212,0.2577435672283172,0.027712815441191148,0.8118293285369873,0.0,0.0,0.1568446829915046,0.0565153695642948,0.0,0.12767431139945978,0.13278673589229578,0.06504641845822329,0.2437783181667328,0.0,0.0,0.08454507589340206,0.046761645004153196,0.0,0.08965956792235368,
branch_02,State_12,boundary_assigned_extension,,1700,0.20078901201486585,0.16372560709714884,0.22913193702697754,0.20120327174663538,0.16314745694398872,0.22973535954952232,0.1785149425268173,0.12708129361271855,0.21357119828462598,0.17810317873954767,0.1267999485135078,0.21359157562255857,0.1870169416069984,0.0,0.3403047770261764,0.13295971602201462,0.05722590908408162,0.21950148418545723,0.17374753206968305,0.12499830871820444,0.24431311711668963,0.17497837543487543,0.0,0.4274109974503517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21716871857643125,0.12406345456838605,0.0,0.2472454309463501,0.32085202634334564,0.05800402164459225,0.5167496204376221,0.1391210928559303,0.0,0.29698386788368225,0.1758976653218269,0.07967998832464218,0.3423692584037781,0.4695003777742386,0.2608301565051078,1.02656951546669,0.0,0.0,0.08186064474284645,0.09162376821041104,0.0,0.22557505592703816,0.7893186509609222,0.4123305603861808,1.4423097372055054,0.21834500133991236,0.0,0.9883887022733688,0.0,0.0,0.2318455763161182,0.0,0.0,0.1065590158104896,0.12679288536310196,0.0,0.23781879618763918,0.0,0.0,0.08412300981581208,0.0,0.0,0.0865092072635889,State_12
branch_03,State_20,State_20_near,State_20,252,0.3309440463781357,0.2870763167738914,0.37582457810640335,0.32866559922695154,0.28458581119775767,0.37459358572959894,0.16093428432941434,0.13380676135420796,0.19811410829424853,0.16071798652410504,0.13339113816618917,0.1976046897470951,0.5454787909984589,0.34822577238082886,0.7546113282442093,0.41443049907684326,0.2990292087197303,0.5531601756811142,0.48592665791511536,0.3879084587097168,0.6191717982292175,0.0,0.0,0.3345119208097458,0.35328584909439087,0.0,0.6164698600769043,0.0,0.0,0.0,1.4819181561470032,0.9909680336713791,1.988583981990814,0.619530200958252,0.42529310286045074,0.8605220019817352,0.135021723806858,0.0,0.21918614581227294,0.1528545618057251,0.0,0.25394216924905777,1.4334476590156555,1.166111320257187,1.6708804666996002,0.740703672170639,0.5883511602878571,0.8672785609960556,1.8583694100379944,1.6613103449344635,2.024585604667663,0.0,0.0,0.0,0.10035593062639234,0.0,0.2635277882218361,0.0,0.0,0.22169998288154596,0.07715672254562375,0.0,0.14994474872946734,0.0,0.0,0.12331879884004585,2.062807321548462,1.7831923067569733,2.3261002898216248,0.6380244195461273,0.44183145463466644,0.8291479796171188,0.0,0.0,0.08247088268399233,0.0,0.0,0.0,
