row_type,branch_id,source_state,distance_segment,n_cells,LAMCORE_full_median,LAMCORE_full_q25,LAMCORE_full_q75,LAMCORE_no_gate_median,LAMCORE_no_gate_q25,LAMCORE_no_gate_q75,LAMCORE_outside_scVI_median,LAMCORE_outside_scVI_q25,LAMCORE_outside_scVI_q75,LAMCORE_independent_median,LAMCORE_independent_q25,LAMCORE_independent_q75,CORE1_median,CORE1_q25,CORE1_q75,CORE2_median,CORE2_q25,CORE2_q75,CORE3_median,CORE3_q25,CORE3_q75,melanocytic_median,melanocytic_q25,melanocytic_q75,myogenic_median,myogenic_q25,myogenic_q75,VEGFD_median,VEGFD_q25,VEGFD_q75,CTSK_median,CTSK_q25,CTSK_q75,lam_support_median,lam_support_q25,lam_support_q75,HOX_PBX_median,HOX_PBX_q25,HOX_PBX_q75,hormone_median,hormone_q25,hormone_q75,ECM_median,ECM_q25,ECM_q75,protease_median,protease_q25,protease_q75,mTOR_translation_median,mTOR_translation_q25,mTOR_translation_q75,T_NK_median,T_NK_q25,T_NK_q75,macrophage_median,macrophage_q25,macrophage_q75,AT2_median,AT2_q25,AT2_q75,endothelial_median,endothelial_q25,endothelial_q75,lymphatic_endothelial_median,lymphatic_endothelial_q25,lymphatic_endothelial_q75,fibroblast_median,fibroblast_q25,fibroblast_q75,pericyte_VSMC_median,pericyte_VSMC_q25,pericyte_VSMC_q75,mesothelial_median,mesothelial_q25,mesothelial_q75,ciliated_median,ciliated_q25,ciliated_q75
segment,branch_01,State_16,near,131,0.2907372117042541,0.19000995159149164,0.5514571666717529,0.2804271876811981,0.17632843554019925,0.5449997782707214,0.1811632663011551,0.10303922742605205,0.49885739386081696,0.1822373569011688,0.10365013033151624,0.49229843914508814,1.4896783828735352,1.1244770884513855,1.8642365336418152,0.6652798652648926,0.4108613431453705,0.9256362020969391,1.3629703521728516,1.0670199394226074,1.6435118317604065,0.8187494277954102,0.38813357055187225,1.1133216619491577,1.871472239494324,1.344475269317627,2.4392086267471313,0.0,0.0,0.0,2.230250835418701,0.0,3.4372146129608154,1.279986023902893,0.9053302109241486,1.5598851442337036,0.2466202974319458,0.0,0.684786856174469,0.1725514382123947,0.0,0.7488799691200256,0.5262212753295898,0.30231811106204987,0.8098965883255005,0.399208515882492,0.2220504507422447,0.6306779086589813,1.2915626764297483,0.41999793052673334,1.804345428943634,0.0,0.0,0.0,0.2616355717182159,0.12825365737080568,0.38755559921264643,0.7228212952613831,0.4673333317041397,1.0402883887290955,0.0,0.0,0.0,0.0,0.0,0.0,0.4043343663215637,0.18146607279777524,0.5910004675388336,1.36445951461792,1.0461544394493103,1.6773365139961243,0.0,0.0,0.0,0.0,0.0,0.0426432359963655
segment,branch_01,State_16,mid,132,0.19780918955802915,0.13829147815704343,0.4021345525979996,0.1894672811031341,0.13021051883697504,0.40295607596635813,0.11121013015508645,0.07080212607979768,0.34778244048357004,0.11186948046088216,0.07099503278732293,0.3440678715705871,1.4439259767532349,0.9634347409009933,1.9040460884571078,0.4184529632329941,0.30551908165216446,0.6854601353406906,1.0205429792404177,0.7997543215751648,1.3510313630104065,0.43142589926719666,0.0,0.8247825801372528,1.6459383964538574,1.1122783720493317,2.2588632106781006,0.0,0.0,0.0,2.097182512283325,0.0,2.912415623664856,0.9678975939750672,0.6252875924110413,1.3602598905563354,0.0,0.0,0.5902437418699265,0.0,0.0,0.6271224170923233,0.45571801066398615,0.29127486795186996,0.5891583561897278,0.32313553988933563,0.2114335224032402,0.5367854833602905,1.5573151111602783,0.6925060451030731,1.9507514238357544,0.0,0.0,0.00958764273673295,0.2496192902326584,0.07477984018623823,0.42357637733221054,0.8350925147533417,0.544669434428215,1.2508213818073273,0.0,0.0,0.0,0.0,0.0,0.0,0.245393268764019,0.0,0.4929237365722656,1.351885735988617,0.8912423551082611,1.7252337336540222,0.0,0.0,0.0,0.0,0.0,0.0
segment,branch_01,State_16,far,132,0.17593025416135785,0.10501462221145622,0.3525114059448242,0.16712947189807892,0.09795776009559623,0.3450654000043869,0.11661124229431144,0.07277741283178328,0.27817388623952866,0.11642098426818845,0.0721181239932775,0.2791130840778351,0.866884708404541,0.22138307243585584,1.7067760527133942,0.3285843282938003,0.18800653517246244,0.5750796645879745,0.7992178797721863,0.45496547967195505,1.1382062435150144,0.4004412740468979,0.0,0.8421415537595749,0.9576849937438965,0.3343157321214676,1.7930701076984406,0.0,0.0,0.0,0.9058552384376526,0.0,2.3594255447387695,0.6954089105129242,0.3872479945421219,1.1607724130153656,0.0,0.0,0.41476914286613464,0.0,0.0,0.5055986568331718,0.2977417260408401,0.1484332419931888,0.5740807950496674,0.2699051946401596,0.1614526137709617,0.4069157540798187,1.363124430179596,0.622930496931076,1.886384755373001,0.0,0.0,0.4216892495751381,0.2502002567052841,0.0829073041677475,0.4956667050719261,0.8121290802955627,0.3449277877807617,1.1666201055049896,0.0,0.0,0.0,0.0,0.0,0.0,0.1369415298104286,0.0,0.4299974590539932,0.703125,0.19164673238992688,1.505763679742813,0.0,0.0,0.0,0.0,0.0,0.0
segment,branch_02,State_12,near,171,0.2540816366672516,0.21594557166099543,0.3072243183851242,0.2537680566310882,0.2151551395654678,0.30687905848026276,0.2543943524360657,0.22097296267747873,0.2795056402683258,0.2522073090076446,0.2172354087233543,0.27836209535598755,0.1481117755174636,0.05162869021296495,0.307878166437149,0.2997463345527649,0.19137505441904065,0.45705741643905634,0.3505662977695465,0.2697443962097168,0.4785741716623306,0.3939288556575775,0.23091626167297358,0.591041773557663,0.0,0.0,0.2237470746040344,0.0,0.0,0.0,0.3308818638324737,0.0,0.8892696797847748,0.3360643088817596,0.19396015256643295,0.5832602381706238,0.2074242532253265,0.06603929772973055,0.3525902181863785,0.4645320475101471,0.33286820352077484,0.5991634428501129,0.2886306941509247,0.1341203227639198,0.543745756149292,0.2926293611526489,0.19247488677501673,0.44618614017963404,0.4682769477367401,0.35635116696357727,0.6733223497867584,0.0,0.0,0.0517459604889154,0.1483837962150573,0.0672865249216556,0.3159586936235428,1.687098503112793,0.932206004858017,2.1503762006759644,0.1019834280014038,0.0,0.35801613330841064,0.0,0.0,0.13229905068874354,0.1793610006570816,0.05307727679610245,0.5121560990810394,0.1502369940280914,0.054622676223516395,0.31489697098731995,0.0,0.0,0.061924971640109946,0.0706435367465019,0.027355989441275548,0.1338655054569244
segment,branch_02,State_12,mid,171,0.2365559190511703,0.19981609284877774,0.30549727380275726,0.2361298650503158,0.1975975334644317,0.30381347239017487,0.238942414522171,0.21225265413522715,0.27348679304122925,0.2365086078643798,0.20931381732225415,0.27194124460220337,0.1757404208183288,0.061841428279876695,0.29613061249256134,0.2860884070396423,0.1665096133947372,0.4092969596385956,0.3553951382637024,0.25815780460834503,0.45786358416080475,0.4450642168521881,0.26682789623737335,0.6153249740600586,0.0,0.0,0.2297713160514831,0.0,0.0,0.0,0.0,0.0,0.5343288481235504,0.2702869176864624,0.1650646477937698,0.4163762181997299,0.2270555943250656,0.117446444928646,0.3651961535215378,0.4491102695465088,0.2911667972803116,0.5679772198200226,0.3077621459960937,0.16220513731241226,0.4395323544740677,0.2728428840637207,0.14800237119197845,0.47791571915149683,0.5269601941108704,0.35345499217510223,0.7795926928520203,0.0,0.0,0.06399531289935109,0.2170882672071457,0.0681266896426677,0.6118376851081848,1.413323998451233,0.8001901209354401,2.0404715538024902,0.1612287759780883,0.0660959221422672,0.40775495767593384,0.0,0.0,0.1360169798135757,0.1101506650447845,0.02565825637429945,0.3126223534345626,0.1334308385848999,0.04957765527069565,0.23882847279310226,0.0,0.0,0.0543350484222173,0.0583746954798698,0.0322965458035469,0.1116993241012096
segment,branch_02,State_12,far,172,0.23582919687032694,0.20031305029988286,0.2742397189140319,0.2344812080264091,0.1989159733057022,0.27456921339035034,0.23031937330961225,0.20474053174257273,0.25177432596683497,0.2286244928836822,0.20159916207194323,0.24883189424872393,0.14817881584167475,0.0714506302028894,0.2924913689494133,0.2420768141746521,0.12610286846756927,0.3946776390075683,0.33366870880126953,0.24280749633908272,0.4232066422700882,0.40368132293224335,0.22118148580193514,0.6675454527139664,0.0,0.0,0.17687879130244255,0.0,0.0,0.0,0.0,0.0,0.4287044033408165,0.30305832624435425,0.17160500586032862,0.4044330790638923,0.22231595963239664,0.11956945620477197,0.36862397193908686,0.43610846996307373,0.3246445208787918,0.5707114934921265,0.3078004270792007,0.1681877598166465,0.44656661897897715,0.298652172088623,0.1747690737247467,0.48504189401865,0.5949029922485352,0.39165990054607386,0.9026987701654434,0.0298094851896166,0.0,0.07576940581202504,0.24432477355003354,0.08833445981144902,0.8400245308876038,0.8932372629642487,0.6005802303552628,1.666025996208191,0.27984578907489777,0.07908168993890285,0.7124635279178619,0.0,0.0,0.14511547982692719,0.06334187835454935,0.0,0.14468191936612126,0.11662169173359871,0.05632818862795828,0.2175780460238456,0.0,0.0,0.04590144660323855,0.04617341980338095,0.0,0.09051031991839407
segment,branch_03,State_20,near,242,0.3320659399032593,0.2890492379665375,0.3769983127713203,0.33011142909526825,0.2875885814428329,0.3760206997394562,0.1621007397770881,0.13477947935461998,0.20013989880681035,0.1612664610147476,0.13470413535833353,0.20022872462868685,0.5475741028785706,0.34968218207359314,0.774488240480423,0.41629427671432495,0.30318182706832886,0.5536932498216629,0.48869939148426056,0.3877114057540893,0.6201735585927963,0.0,0.0,0.33994524925947184,0.3497774600982666,0.0,0.6198480576276779,0.0,0.0,0.0,1.5089249014854431,0.9942658692598343,1.9904001355171201,0.619530200958252,0.424586221575737,0.8605547249317169,0.13362173736095423,0.0,0.22866266220808024,0.1499832347035408,0.0,0.2540720030665397,1.4334476590156555,1.1673279702663422,1.6754595935344696,0.7383998334407806,0.5894827991724014,0.8662058562040329,1.861725091934204,1.6623797714710236,2.0251013040542603,0.0,0.0,0.0,0.10257736220955846,0.0,0.2629615440964699,0.0,0.0,0.22191002964973444,0.0787024013698101,0.0,0.15005682781338686,0.0,0.0,0.12284764647483817,2.0705946683883667,1.7828240096569061,2.333428204059601,0.6459650993347168,0.45076610893011093,0.8323722034692764,0.0,0.0,0.0816950555890798,0.0,0.0,0.0
segment,branch_03,State_20,mid,242,0.3382105827331543,0.28447048366069794,0.39319382607936854,0.33648575842380524,0.28206992894411087,0.3926412612199783,0.1805304810404777,0.14374047517776484,0.2370029054582119,0.17956820130348206,0.1433746553957462,0.23490692675113672,0.43072229623794556,0.2520430386066437,0.6389652639627457,0.3907581865787506,0.2469862662255764,0.527325913310051,0.48076833784580225,0.3713606372475624,0.5976377129554749,0.19724095612764353,0.0,0.40901422500610346,0.22822213172912595,0.0,0.465127170085907,0.0,0.0,0.0,1.2836924195289612,0.0,1.8437631130218508,0.5923493504524231,0.4203825891017913,0.8795511424541473,0.15757521986961365,0.0,0.2979122772812843,0.19489837437868116,0.0,0.3812328949570656,1.3526645302772522,1.0628798604011536,1.6778779029846191,0.6738350987434387,0.47178495675325394,0.8464455455541611,1.6615068316459656,0.8116618543863297,1.8805911839008331,0.0,0.0,0.0,0.09787012636661524,0.0,0.22917075455188748,0.1379802674055099,0.0,0.5425613224506378,0.0570964105427265,0.0,0.13999448344111437,0.0,0.0,0.0,1.9615209102630615,1.5290002822875977,2.3253623247146606,0.5102844834327698,0.3586729168891907,0.7021524012088776,0.0,0.0,0.0,0.0,0.0,0.04718629736453292
segment,branch_03,State_20,far,242,0.35968972742557526,0.31731230765581125,0.4019791260361671,0.35875174403190613,0.3163687735795975,0.400563433766365,0.22260538488626475,0.17073598504066465,0.2885413244366646,0.2216384336352348,0.1696049943566322,0.2846798822283745,0.37150099873542786,0.19452537596225739,0.5844963788986206,0.32477121055126185,0.20095527917146677,0.47878706455230713,0.4771092087030411,0.37576065957546234,0.599621370434761,0.2619231790304184,0.0,0.4664723053574562,0.2047550305724144,0.0,0.46653010696172714,0.0,0.0,0.8760240525007248,0.48901186883449554,0.0,1.3834384977817538,0.5996642708778381,0.3915992304682731,0.8826688975095749,0.28174199163913727,0.11296305991709227,0.5162180662155151,0.3238028436899185,0.147261805832386,0.619836613535881,1.295847773551941,0.8989066779613495,1.6868817210197449,0.5337212979793549,0.27421268820762634,0.7842761129140854,1.2563623189926147,0.5227295756340027,1.7824395895004272,0.0,0.0,0.03736745007336133,0.03959760442376135,0.0,0.17012903094291681,0.352891206741333,0.0,0.7241767197847366,0.0968134962022304,0.0,0.15491056814789772,0.0,0.0,0.08561029471457002,1.8832029700279236,1.3127251267433167,2.334047555923462,0.45189720392227173,0.29491662979125977,0.6670716404914856,0.0,0.0,0.0,0.0,0.0,0.06442554667592046
segment,branch_04,State_7,near,135,0.1467567086219787,0.09258046001195899,0.1871757954359054,0.1451785862445831,0.09229946136474605,0.18610554188489908,0.1368483603000641,0.07865408807992935,0.20478257536888114,0.1376597136259079,0.07690079510211945,0.2024949043989181,0.040887214243412,0.0,0.14299146831035608,0.1524550765752792,0.08749535679817194,0.23298773169517514,0.2330317944288253,0.16377893090248105,0.33348654210567474,0.2275548577308654,0.08992628380656234,0.34913040697574615,0.0,0.0,0.19445464760065073,0.0,0.0,0.0,0.0,0.0,0.7788830101490021,0.236199140548706,0.1131319105625152,0.3675952553749084,0.0546233244240284,0.0,0.15597700327634806,0.1946033388376236,0.07029213756322855,0.4460355043411255,0.0994876101613044,0.0502594951540231,0.1627010628581047,0.285642147064209,0.13677284866571426,0.4784640818834305,1.5552021265029907,0.4413638710975647,1.9175578355789185,0.0,0.0,0.01446343958377835,0.0686706230044364,0.0,0.15801318734884254,3.176346063613892,2.0633931159973145,4.749593734741211,0.0,0.0,0.07204103842377654,0.0,0.0,0.057853147387504494,0.0,0.0,0.0822900757193565,0.0595159903168678,0.0,0.14566507190465924,0.0,0.0,0.11834445968270296,0.0456350035965442,0.0,0.11386980116367335
